2021-07-22 17:04:50,895 - [background-preinit] INFO       | org.hibernate.validator.internal.util.Version                | HV000001: Hibernate Validator 6.1.6.Final (Version.java:21)
2021-07-22 17:04:52,105 - [main] INFO       | org.hibernate.jpa.internal.util.LogHelper                    | HHH000204: Processing PersistenceUnitInfo [name: default] (LogHelper.java:31)
2021-07-22 17:04:52,151 - [main] INFO       | org.hibernate.Version                                        | HHH000412: Hibernate ORM core version 5.4.32.Final (Version.java:44)
2021-07-22 17:04:52,264 - [main] INFO       | org.hibernate.annotations.common.Version                     | HCANN000001: Hibernate Commons Annotations {5.1.2.Final} (JavaReflectionManager.java:56)
2021-07-22 17:04:52,632 - [main] INFO       | org.hibernate.dialect.Dialect                                | HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect (Dialect.java:175)
2021-07-22 17:04:53,214 - [main] INFO       | org.hibernate.engine.transaction.jta.platform.internal.JtaPlatformInitiator | HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform] (JtaPlatformInitiator.java:52)
2021-07-22 17:12:52,407 - [background-preinit] INFO       | org.hibernate.validator.internal.util.Version                | HV000001: Hibernate Validator 6.1.6.Final (Version.java:21)
2021-07-22 17:12:53,721 - [main] INFO       | org.hibernate.jpa.internal.util.LogHelper                    | HHH000204: Processing PersistenceUnitInfo [name: default] (LogHelper.java:31)
2021-07-22 17:12:53,766 - [main] INFO       | org.hibernate.Version                                        | HHH000412: Hibernate ORM core version 5.4.32.Final (Version.java:44)
2021-07-22 17:12:53,880 - [main] INFO       | org.hibernate.annotations.common.Version                     | HCANN000001: Hibernate Commons Annotations {5.1.2.Final} (JavaReflectionManager.java:56)
2021-07-22 17:12:54,234 - [main] INFO       | org.hibernate.dialect.Dialect                                | HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect (Dialect.java:175)
2021-07-22 17:12:54,792 - [main] INFO       | org.hibernate.engine.transaction.jta.platform.internal.JtaPlatformInitiator | HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform] (JtaPlatformInitiator.java:52)
2021-07-22 17:13:11,329 - [http-nio-8080-exec-4] INFO       | UserController                 | --> Launch /user/list (UserController.java:30)
2021-07-22 17:13:29,112 - [http-nio-8080-exec-5] INFO       | UserController                 | --> Launch /user/delete/{id} + id: 10 (UserController.java:82)
2021-07-22 17:13:29,149 - [http-nio-8080-exec-5] INFO       | UserController                 | -->   user/delete id: 10 - SUCCESS - (UserController.java:85)
2021-07-22 17:13:29,157 - [http-nio-8080-exec-6] INFO       | UserController                 | --> Launch /user/list (UserController.java:30)
2021-07-22 17:13:57,501 - [http-nio-8080-exec-7] INFO       | UserController                 | --> Launch /user/add (UserController.java:37)
2021-07-22 17:14:13,822 - [http-nio-8080-exec-8] INFO       | UserController                 | --> Launch /user/validate (UserController.java:43)
2021-07-22 17:14:13,907 - [http-nio-8080-exec-8] INFO       | UserController                 | -->   user/add - SUCCESS - (UserController.java:49)
2021-07-22 17:14:13,911 - [http-nio-8080-exec-9] INFO       | UserController                 | --> Launch /user/list (UserController.java:30)
2021-07-22 17:15:01,257 - [http-nio-8080-exec-10] INFO       | UserController                 | --> Launch /user/delete/{id} + id: 11 (UserController.java:82)
2021-07-22 17:15:01,265 - [http-nio-8080-exec-10] INFO       | UserController                 | -->   user/delete id: 11 - SUCCESS - (UserController.java:85)
2021-07-22 17:15:01,271 - [http-nio-8080-exec-1] INFO       | UserController                 | --> Launch /user/list (UserController.java:30)
