2021-07-29 09:51:46,876 - [background-preinit] INFO       | org.hibernate.validator.internal.util.Version                | HV000001: Hibernate Validator 6.1.6.Final (Version.java:21)
2021-07-29 09:51:48,965 - [main] INFO       | BidListController              | --> Launch /bidList/add (BidListController.java:39)
2021-07-29 10:10:11,789 - [background-preinit] INFO       | org.hibernate.validator.internal.util.Version                | HV000001: Hibernate Validator 6.1.6.Final (Version.java:21)
2021-07-29 10:10:14,217 - [main] INFO       | BidListController              | --> Launch /bidList/validate (BidListController.java:45)
2021-07-29 10:10:14,220 - [main] INFO       | BidListController              |   --> **  bidList saved ** (BidListController.java:51)
2021-07-29 10:10:47,267 - [background-preinit] INFO       | org.hibernate.validator.internal.util.Version                | HV000001: Hibernate Validator 6.1.6.Final (Version.java:21)
2021-07-29 10:10:49,719 - [main] INFO       | BidListController              | --> Launch /bidList/validate (BidListController.java:45)
2021-07-29 10:10:49,719 - [main] INFO       | BidListController              |   --> **  Errors ** Nb error: 3 (BidListController.java:47)
2021-07-29 10:15:30,863 - [background-preinit] INFO       | org.hibernate.validator.internal.util.Version                | HV000001: Hibernate Validator 6.1.6.Final (Version.java:21)
2021-07-29 10:15:33,147 - [main] INFO       | BidListController              | --> Launch /bidList/validate (BidListController.java:45)
2021-07-29 10:15:33,149 - [main] INFO       | BidListController              |   --> **  bidList saved ** (BidListController.java:51)
2021-07-29 10:16:03,287 - [background-preinit] INFO       | org.hibernate.validator.internal.util.Version                | HV000001: Hibernate Validator 6.1.6.Final (Version.java:21)
2021-07-29 10:16:05,475 - [main] INFO       | BidListController              | --> Launch /bidList/validate (BidListController.java:45)
2021-07-29 10:16:05,485 - [main] INFO       | BidListController              |   --> **  bidList saved ** (BidListController.java:51)
2021-07-29 10:18:00,571 - [background-preinit] INFO       | org.hibernate.validator.internal.util.Version                | HV000001: Hibernate Validator 6.1.6.Final (Version.java:21)
2021-07-29 10:18:02,795 - [main] INFO       | BidListController              | --> Launch /bidList/validate (BidListController.java:45)
2021-07-29 10:18:02,805 - [main] INFO       | BidListController              |   --> **  bidList saved ** (BidListController.java:51)
2021-07-29 10:19:56,913 - [background-preinit] INFO       | org.hibernate.validator.internal.util.Version                | HV000001: Hibernate Validator 6.1.6.Final (Version.java:21)
2021-07-29 10:21:24,189 - [background-preinit] INFO       | org.hibernate.validator.internal.util.Version                | HV000001: Hibernate Validator 6.1.6.Final (Version.java:21)
2021-07-29 10:21:26,549 - [main] INFO       | BidListController              | --> Launch /bidList/validate (BidListController.java:45)
2021-07-29 10:21:26,550 - [main] INFO       | BidListController              |   --> **  Errors ** Nb error: 2 (BidListController.java:47)
2021-07-29 10:22:51,423 - [background-preinit] INFO       | org.hibernate.validator.internal.util.Version                | HV000001: Hibernate Validator 6.1.6.Final (Version.java:21)
2021-07-29 10:22:53,584 - [main] INFO       | BidListController              | --> Launch /bidList/validate (BidListController.java:45)
2021-07-29 10:22:53,585 - [main] INFO       | BidListController              |   --> **  Errors ** Nb error: 2 (BidListController.java:47)
2021-07-29 10:24:13,943 - [background-preinit] INFO       | org.hibernate.validator.internal.util.Version                | HV000001: Hibernate Validator 6.1.6.Final (Version.java:21)
2021-07-29 10:24:16,183 - [main] INFO       | BidListController              | --> Launch /bidList/validate (BidListController.java:45)
2021-07-29 10:24:16,183 - [main] INFO       | BidListController              |   --> **  Errors ** Nb error: 2 (BidListController.java:47)
2021-07-29 10:25:57,089 - [background-preinit] INFO       | org.hibernate.validator.internal.util.Version                | HV000001: Hibernate Validator 6.1.6.Final (Version.java:21)
2021-07-29 10:25:59,323 - [main] INFO       | BidListController              | --> Launch /bidList/validate (BidListController.java:45)
2021-07-29 10:25:59,324 - [main] INFO       | BidListController              |   --> **  Errors ** Nb error: 2 (BidListController.java:47)
2021-07-29 10:32:21,643 - [background-preinit] INFO       | org.hibernate.validator.internal.util.Version                | HV000001: Hibernate Validator 6.1.6.Final (Version.java:21)
2021-07-29 10:32:58,408 - [background-preinit] INFO       | org.hibernate.validator.internal.util.Version                | HV000001: Hibernate Validator 6.1.6.Final (Version.java:21)
2021-07-29 10:33:00,637 - [main] INFO       | BidListController              | --> Launch /bidList/validate (BidListController.java:45)
2021-07-29 10:33:00,638 - [main] INFO       | BidListController              |   --> **  Errors ** Nb error: 2 (BidListController.java:47)
2021-07-29 10:36:51,176 - [background-preinit] INFO       | org.hibernate.validator.internal.util.Version                | HV000001: Hibernate Validator 6.1.6.Final (Version.java:21)
2021-07-29 10:37:08,239 - [background-preinit] INFO       | org.hibernate.validator.internal.util.Version                | HV000001: Hibernate Validator 6.1.6.Final (Version.java:21)
2021-07-29 10:37:10,403 - [main] INFO       | BidListController              | --> Launch /update/{id} with id: 1 (BidListController.java:57)
2021-07-29 10:38:02,391 - [background-preinit] INFO       | org.hibernate.validator.internal.util.Version                | HV000001: Hibernate Validator 6.1.6.Final (Version.java:21)
2021-07-29 10:38:04,727 - [main] INFO       | UserController                 | --> Launch /user/update/{id} + id: 1 (UserController.java:75)
2021-07-29 10:38:04,727 - [main] INFO       | UserController                 | --> Launch /user/update/{id} + userDTO.getId: 1 (UserController.java:76)
2021-07-29 10:38:04,727 - [main] INFO       | UserController                 |   --> **  Errors ** Nb error: 1 (UserController.java:78)
2021-07-29 10:51:41,765 - [background-preinit] INFO       | org.hibernate.validator.internal.util.Version                | HV000001: Hibernate Validator 6.1.6.Final (Version.java:21)
2021-07-29 10:52:45,994 - [background-preinit] INFO       | org.hibernate.validator.internal.util.Version                | HV000001: Hibernate Validator 6.1.6.Final (Version.java:21)
2021-07-29 10:52:48,158 - [main] INFO       | BidListController              | --> Launch Post bidList/update/{id} with id: 1 (BidListController.java:66)
2021-07-29 10:52:48,161 - [main] INFO       | BidListController              |   --> **  BidList updated ** id: 1 (BidListController.java:74)
2021-07-29 10:56:45,410 - [background-preinit] INFO       | org.hibernate.validator.internal.util.Version                | HV000001: Hibernate Validator 6.1.6.Final (Version.java:21)
2021-07-29 10:56:47,591 - [main] INFO       | BidListController              | --> Launch Post bidList/update/{id} with id: 1 (BidListController.java:66)
2021-07-29 10:56:47,592 - [main] INFO       | BidListController              |   --> **  Errors ** Nb error: 2 (BidListController.java:68)
2021-07-29 11:05:54,128 - [background-preinit] INFO       | org.hibernate.validator.internal.util.Version                | HV000001: Hibernate Validator 6.1.6.Final (Version.java:21)
2021-07-29 11:06:08,411 - [background-preinit] INFO       | org.hibernate.validator.internal.util.Version                | HV000001: Hibernate Validator 6.1.6.Final (Version.java:21)
2021-07-29 11:06:09,425 - [main] INFO       | org.hibernate.jpa.internal.util.LogHelper                    | HHH000204: Processing PersistenceUnitInfo [name: default] (LogHelper.java:31)
2021-07-29 11:06:09,515 - [main] INFO       | org.hibernate.Version                                        | HHH000412: Hibernate ORM core version 5.4.32.Final (Version.java:44)
2021-07-29 11:06:09,665 - [main] INFO       | org.hibernate.annotations.common.Version                     | HCANN000001: Hibernate Commons Annotations {5.1.2.Final} (JavaReflectionManager.java:56)
2021-07-29 11:06:10,332 - [main] INFO       | org.hibernate.dialect.Dialect                                | HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect (Dialect.java:175)
2021-07-29 11:06:11,046 - [main] INFO       | org.hibernate.engine.transaction.jta.platform.internal.JtaPlatformInitiator | HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform] (JtaPlatformInitiator.java:52)
2021-07-29 11:06:14,055 - [main] INFO       | BidListController              | --> Launch /bidList/validate (BidListController.java:45)
2021-07-29 11:06:14,058 - [main] INFO       | BidListController              |   --> **  bidList saved ** (BidListController.java:51)
2021-07-29 11:06:14,081 - [main] INFO       | BidListController              | --> Launch /bidList/validate (BidListController.java:45)
2021-07-29 11:06:14,081 - [main] INFO       | BidListController              |   --> **  Errors ** Nb error: 2 (BidListController.java:47)
2021-07-29 11:06:14,363 - [main] INFO       | BidListController              | --> Launch Post bidList/update/{id} with id: 1 (BidListController.java:66)
2021-07-29 11:06:14,364 - [main] INFO       | BidListController              |   --> **  Errors ** Nb error: 2 (BidListController.java:68)
2021-07-29 11:06:14,382 - [main] INFO       | BidListController              | --> Launch Post bidList/update/{id} with id: 1 (BidListController.java:66)
2021-07-29 11:06:14,382 - [main] INFO       | BidListController              |   --> **  BidList updated ** id: 1 (BidListController.java:74)
2021-07-29 11:06:14,388 - [main] INFO       | BidListController              | --> Launch /bidList/add (BidListController.java:39)
2021-07-29 11:06:14,397 - [main] INFO       | BidListController              | --> Launch /update/{id} with id: 1 (BidListController.java:57)
2021-07-29 11:06:14,413 - [main] INFO       | BidListController              | --> Launch /bidList/list (BidListController.java:32)
2021-07-29 11:06:14,517 - [main] INFO       | UserService          |  ---> Launch addlUser (UserService.java:61)
